offer_id,title,address,district,price,total_area,rooms,floor,floors_total,house_type,year_built,description,link
323093206,"Квартира 133,4м²","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,235000000.0,133.4,1,3,10,Не указан,2008.0,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=2/spec=company/323093206/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
320666850,Квартира 40м²,"Москва, ЦАО, р-н Тверской, ул. Бутырский Вал, 28",Тверской,18800000.0,40.0,1,5,9,Не указан,,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=2/spec=company/320666850/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
321435291,"Квартира 169,57м²","Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 14",Мещанский,361353670.0,169.57,1,11,13,Не указан,,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=2/ga_obj_type=3/spec=company/321435291/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
323093209,"Квартира 125,6м²","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,235000000.0,125.6,1,3,10,Не указан,2008.0,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=2/spec=company/323093209/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
323172503,Квартира 47м²,"Москва, ЦАО, р-н Мещанский, пер. Васнецова, 3",Мещанский,22300000.0,47.0,1,8,12,Не указан,1974.0,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=2/spec=agent/323172503/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
322039695,"Квартира 92,5м²","Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл.",Мещанский,177600000.0,92.5,1,3,9,Не указан,,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=2/ga_obj_type=1/spec=company/322039695/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
322832760,Квартира 110м²,"Москва, ЦАО, р-н Мещанский, Цветной бул., 32А",Мещанский,165000000.0,110.0,1,6,8,Не указан,2019.0,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=3/spec=company/322832760/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
319017836,"Квартира 22,7м²","Москва, ЦАО, р-н Тверской, Новослободская ул., 20",Тверской,10442000.0,22.7,1,3,3,Не указан,,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=1/spec=agent/319017836/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
321435276,"Квартира 175,85м²","Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 14",Мещанский,395662500.0,175.85,1,10,13,Не указан,,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=2/ga_obj_type=3/spec=company/321435276/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
323189253,"Квартира 133,4м²","Москва, ЦАО, р-н Тверской, Большая Грузинская ул., 69",Тверской,235000000.0,133.4,1,3,10,Не указан,,Описание отсутствует,https://www.cian.ru/sale/flat/mo_id=0/obl_id=1/city_id=1/object_type=1/ga_obj_type=2/spec=company/323189253/from_developer=0/repres=0/owner=0/pod_snos=0/nv=0
